en,sv
item,post
file,fil
archive,arkivera
quit,avsluta
save,spara
close,stäng
close?,stänga?
modifications will not be saved,förändringar sparas inte
really close?,verkligen stänga?
edit,editera
create text,skapa text
create section,skapa sektion
rename,ändra namn
select,välj
select word,markera ord
copy,kopiera
delete,radera
move up,flytta upp
move down,flytta ner
rearrange,flytta
into section,in i sektion
out of section,ut ur sektion
chars,tecken
age,ålder
title,titel
subtitle,undertitel
reference,referens
references,referenser
author,författare
authors,författare
year,år
month,månad
article,artikel
book,bok
journal,tidskrift
volume,volym
issue,utgåva
pages,sidor
add,lägg till
add manually,lägg till manuellt
Add BibTeX,Lägg till BibTeX
Add RIS,Lägg till RIS
add reference,lägg till referens
remove reference,ta bort referens
edit authors,editera författare
language,språk
edit language,editera språk
index,index
remove indexing,ta bort indexering
search,sök
help,hjälp
canonical,kanonisk
canonical?,kanonisk?
give canonical term,ange kanonisk term
ok,ok
show,visa
remove,ta bort
really,verkligen
cancel,avbryt
visit,besök
reference id,referens id
cut,klipp
paste,klistra
bold,fetstil
remove bold,ta bort fetstil
italic,kursiv
remove italic,ta bort kursiv
quote,citat
remove quote,ta bort citat
code,kod
remove code,ta bort kod
fenced code,avgränsad kod
remove fenced code,ta bort avgränsad kod
code block,kodblock
remove code block,ta bort kodblock
heading,rubrik
ordered,numrerad
unordered,onumrerad
link,länk
edit link,editera länk
Link URL?,URL för länk?
Give URL for link:,Ange URL for länk:
footnote,fotnot
footnotes,fotnoter
remove footnote,ta bort fotnot
list,lista
add list item,lägg till listpunkt
remove list item,ta bort listpunkt
add ordered list,lägg till numrerad lista
add unordered list,lägg till onumrerad lista
terminate list,avsluta lista
manually,manuellt
started,påbörjad
outline,skiss
incomplete,ofullständig
draft,utkast
written,skriven
revised,reviderad
done,färdig
proofs,korrektur
final,slutgiltig
created,skapad
term,term
clear,rensa
character case is significant,stor/liten bokstav spelar roll
allow regular expression,tillåt regexp
number of chapters,antal kapitel
number of texts,antal texter
number of characters,antal nedslag
give new title,ange ny titel
give new subtitle,ange ny undertitel
new name,nytt namn
new section, ny sektion
give name of the new section,ange namn för den nya sektionen
new text,ny text
give name of the new text,ange namn för den nya texten
all unsaved changes will be lost, alla osparade förändringar kommer att försvinna
really quit?,verkligen avsluta?
wrote file,skrev fil
Wrote DOCX file,Skrev DOCX-fil
wrote archive file,skrev arkivfil
items written to archive file,poster skrivna till arkivfilen
delete text,radera text
really delete text,verkligen radera text
delete section,radera sektion
really delete section,verkligen radera sektion
and all its contents,och allt dess innehåll?
number of references,antal referenser
number of indexed,antal indexerade
choose,välj
underline,understruken
settings,inställningar
display heading,visa rubrik
display heading ordinal,visa ordningstal i rubrik
page break level,nivå för sidbrytning
contents level,nivå för innehållssidan
contents pages,antal sidor för innehållssidan
file or files,fil eller filer
All text in a single HTML file,All text i en enda HTML-fil
Separate files for each chapter,Separata filer för varje kapitel
tar file,tar-fil
Store in gzipped tar file,Skriv till en gzippad tar fil
indexing font,typsnitt för index
reference font,typsnitt för referens
contents,innehåll
xref for indexed,korsreferens för indexerade
xref for references,korsreferens för referenser
no xrefs,inga korsreferenser
page number,sidnummer
text full name,hel rubrik för text
text heading,numrerad rubrik för text
after each text,efter varje text
after each chapter,efter varje kapitel
at end of book,i slutet av boken
concept,begrepp
create concept,skapa begrepp
edit concept,editera begrepp
